# BLASTP 2.6.0+
# Query: Mystery
# Database: /data/blastdb/nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 502 hits found
Mystery	NP_000167.1	100.000	777	0	0	1	777	1	777	0.0	1612
Mystery	BAD97314.1	99.871	777	1	0	1	777	1	777	0.0	1610
Mystery	XP_003829144.1	99.743	777	2	0	1	777	1	777	0.0	1608
Mystery	CAE45716.1	99.871	777	1	0	1	777	1	777	0.0	1608
Mystery	XP_003266608.1	99.614	777	3	0	1	777	1	777	0.0	1608
Mystery	NP_001019265.1	99.871	778	0	1	1	777	1	778	0.0	1607
Mystery	AED99114.1	99.614	777	3	0	1	777	1	777	0.0	1607
Mystery	BAH02307.1	99.743	777	2	0	1	777	1	777	0.0	1607
Mystery	XP_001154855.1	99.485	777	4	0	1	777	1	777	0.0	1605
Mystery	Q5R9P5.2	99.356	777	5	0	1	777	1	777	0.0	1605
Mystery	XP_003266613.1	99.486	778	3	1	1	777	1	778	0.0	1603
Mystery	NP_001128816.1	99.099	777	7	0	1	777	1	777	0.0	1602
Mystery	NP_001126305.1	99.100	778	6	1	1	777	1	778	0.0	1597
Mystery	XP_005558172.1	98.713	777	10	0	1	777	1	777	0.0	1592
Mystery	XP_005558167.1	98.586	778	10	1	1	777	1	778	0.0	1588
Mystery	XP_001097126.1	98.327	777	13	0	1	777	1	777	0.0	1585
Mystery	EHH26891.1	98.201	778	13	1	1	777	1	778	0.0	1578
Mystery	P79686.1	96.525	777	27	0	1	777	1	777	0.0	1567
Mystery	AAK01303.1	96.525	777	27	0	1	777	1	777	0.0	1565
Mystery	XP_003920603.1	96.396	777	28	0	1	777	1	777	0.0	1564
Mystery	NP_001191187.1	100.000	751	0	0	27	777	1	751	0.0	1562
Mystery	P79269.1	96.268	777	29	0	1	777	1	777	0.0	1561
Mystery	O46567.1	96.401	778	27	1	1	777	1	778	0.0	1561
Mystery	NP_001244179.1	96.268	777	29	0	1	777	1	777	0.0	1560
Mystery	1802363A	96.144	778	29	1	1	777	1	778	0.0	1553
Mystery	XP_005268482.1	96.654	777	0	1	1	777	1	751	0.0	1543
Mystery	AFA52010.1	98.257	746	10	2	1	745	1	744	0.0	1512
Mystery	NP_001018661.1	99.863	729	1	0	1	729	1	729	0.0	1509
Mystery	XP_005268483.1	94.981	777	1	1	1	777	1	739	0.0	1506
Mystery	XP_003266615.1	99.451	729	4	0	1	729	1	729	0.0	1503
Mystery	XP_001154508.1	99.314	729	5	0	1	729	1	729	0.0	1501
Mystery	XP_005558173.1	98.491	729	11	0	1	729	1	729	0.0	1489
Mystery	NP_001193563.1	93.606	782	44	3	1	777	1	781	0.0	1472
